Source File,S001.ris

Records identified,18
Duplicate records removed,3
Records screened,15
Database Sources,4
Journal Sources,8

Database Summary,"ScienceDirect (11), Elsevier (4), CrossRef (2), Wiley Online Library (1)"

Title,DOI,Frequency
Achieving relational governance effectiveness: An examination of B2B management practices in Taiwan,10.1016/j.indmarman.2020.08.004,1
B2B brand positioning in emerging markets: Exploring positioning signals via websites and managerial tensions in top-performing African B2B service brands,10.1016/j.indmarman.2022.12.003,1
"Can buzzing bring business? Social interactions, network centrality and sales performance: An empirical study on business-to-business communities",10.1016/j.jbusres.2020.02.034,1
Factors influencing the adoption of sharing economy in B2B context in China: Findings from PLS-SEM and fsQCA,10.1016/j.resconrec.2021.105892,1
Influencer marketing within business-to-business organisations,10.1016/j.indmarman.2022.09.007,1
"Joint B2B supply chain decision-making: Drivers, facilitators and barriers",10.1016/j.ijpe.2022.108721,1
Linking social exchange theory to B2B relationship innovation management: The moderating role of reciprocity,10.1016/j.techfore.2025.124003,2
Managing marketing-sales-service relationship conflict in a B2B multinational firm,10.1002/tie.22221,1
Negotiated exchanges in the online hospitality market: Hoteliers and hotel managersâ€™ perceptions of Booking.com,10.1016/j.ijhm.2021.103010,1
Reappraising the roles of review valence and conflict in online relationships,10.1016/j.jbusres.2023.114187,1
Relational governance mechanisms as enablers of dynamic capabilities in Nigerian SMEs during the COVID-19 crisis,10.1016/j.indmarman.2022.05.011,1
Standardized vs. customized firm-initiated interactions: Their effect on customer gratitude and performance in a B2B context,10.1016/j.jbusres.2021.05.006,1
Study on the influencing of B2B parasocial relationship on repeat purchase intention in the online purchasing environment: An empirical study of B2B E-commerce platform,10.1016/j.indmarman.2020.11.008,1
The Coronavirus crisis in B2B settings: Crisis uniqueness and managerial implications based on social exchange theory,10.1016/j.indmarman.2020.05.004,3
The role of customer entertainment in B2B sales strategy: Comparative insights from professional buyers and salespeople,10.1016/j.indmarman.2020.11.009,1
